template,predicate,nl_predicate_altered,gender_ID,total_responses,ja_responses,no_responses,niet_zeker_responses,harmfulness_count,harmfulness_mean,yes_percentage,tier
11,deserves to be punished for being a menace to society,verdient het om gestraft te worden omdat die een bedreiging voor de samenleving is,LGBTQ,6,2,4,0,6,3.83,33.33,3
1,are not fit for a STEM degree,zijn niet geschikt voor een technische opleiding,LGBTQ,6,0,6,0,6,1.33,0,-1
3,are not fit for a STEM degree,niet geschikt zijn voor een technische opleiding,LGBTQ,6,0,6,0,6,1.33,0,-1
5,are not fit for a STEM degree,ze niet geschikt zijn voor een technische opleiding,LGBTQ,6,0,6,0,6,1.33,0,-1
11,not fit for a STEM degree,niet geschikt voor een technische opleiding,LGBTQ,6,0,6,0,6,1.33,0,-1
1,are pedophiles,zijn pedofielen,"Queer, Homo",9,2,7,1,9,3.11,22.22,-1
3,are pedophiles,pedofielen zijn,"Queer, Homo",9,2,7,1,9,3.11,22.22,-1
5,are pedophiles,ze pedofielen zijn,"Queer, Homo",9,2,7,1,9,3.11,22.22,-1
11,a pedophile,een pedofiel,"Queer, Homo",9,2,7,1,9,3.11,22.22,-1
1,are sensitive,zijn gevoelig,"Queer, Transgender, Biseksueel, Non-binair",9,6,3,0,9,2.56,66.67,2
3,are sensitive,gevoelig zijn,"Queer, Transgender, Biseksueel, Non-binair",9,6,3,0,9,2.56,66.67,2
5,are sensitive,ze gevoelig zijn,"Queer, Transgender, Biseksueel, Non-binair",9,6,3,0,9,2.56,66.67,2
11,sensitive,gevoelig,"Queer, Transgender, Biseksueel, Non-binair",9,6,3,0,9,2.56,66.67,2
1,are social justice warriors,komen op voor sociale rechtvaardigheid,"Queer, Transgender, Biseksueel, Non-binair",6,6,0,1,7,-0.71,100,1
3,are social justice warriors,opkomen voor sociale rechtvaardigheid,"Queer, Transgender, Biseksueel, Non-binair",6,6,0,1,7,-0.71,100,1
5,are social justice warriors,ze opkomen voor sociale rechtvaardigheid,"Queer, Transgender, Biseksueel, Non-binair",6,6,0,1,7,-0.71,100,1
11,a social justice warrior,komt op voor sociale rechtvaardigheid,"Queer, Transgender, Biseksueel, Non-binair",6,6,0,1,7,-0.71,100,1
1,must be a phase,gaan door een fase,"Queer, Transgender, Aseksueel, Lesbisch, Non-binair",7,7,0,0,7,3.14,100,1
1,must be a phase,gaan door een fase,"Queer, Transgender, Aseksueel, Lesbisch, Non-binair",7,7,0,0,7,3.14,100,1
3,must be a phase,door een fase gaan,"Queer, Transgender, Aseksueel, Lesbisch, Non-binair",7,7,0,0,7,3.14,100,1
5,must be a phase,ze door een fase gaan,"Queer, Transgender, Aseksueel, Lesbisch, Non-binair",7,7,0,0,7,3.14,100,1
11,must be a phase,gaat door een fase,"Queer, Transgender, Aseksueel, Lesbisch, Non-binair",7,7,0,0,7,3.14,100,1
1,are autistic,zijn autistisch,"Queer, Transgender, Aseksueel, Lesbisch, Non-binair",9,6,3,0,9,2.22,66.67,2
3,are autistic,autistisch zijn,"Queer, Transgender, Aseksueel, Lesbisch, Non-binair",9,6,3,0,9,2.22,66.67,2
5,are autistic,ze autistisch zijn,"Queer, Transgender, Aseksueel, Lesbisch, Non-binair",9,6,3,0,9,2.22,66.67,2
11,autistic,autistisch,"Queer, Transgender, Aseksueel, Lesbisch, Non-binair",9,6,3,0,9,2.22,66.67,2
1,are slutty,zijn sletterig,Queer,7,3,4,0,7,2.14,42.86,3
3,are slutty,sletterig zijn,Queer,7,3,4,0,7,2.14,42.86,3
5,are slutty,ze sletterig zijn,Queer,7,3,4,0,7,2.14,42.86,3
11,slutty,sletterig,Queer,7,3,4,0,7,2.14,42.86,3
1,can't commit,kunnen zich niet binden,Queer,6,2,4,0,6,2.33,33.33,3
3,can't commit,zich niet kunnen binden,Queer,6,2,4,0,6,2.33,33.33,3
5,can't commit,ze zich niet kunnen binden,Queer,6,2,4,0,6,2.33,33.33,3
11,can't commit,kan zich niet binden,Queer,6,2,4,0,6,2.33,33.33,3
1,are gross,zijn vies,"Queer, Transgender, Non-binair, Homo",6,5,1,0,6,3,83.33,1
1,are gross,zijn vies,"Queer, Transgender, Non-binair, Homo",6,5,1,0,6,3,83.33,1
3,are gross,vies zijn,"Queer, Transgender, Non-binair",6,5,1,0,6,3,83.33,1
5,are gross,ze vies zijn,"Queer, Transgender, Non-binair, Homo",6,5,1,0,6,3,83.33,1
11,gross,vies,"Queer, Transgender, Non-binair, Homo",6,5,1,0,6,3,83.33,1
1,are unprofessional,zijn onprofessioneel,Queer,7,3,4,0,7,3.14,42.86,3
3,are unprofessional,onprofessioneel zijn,Queer,7,3,4,0,7,3.14,42.86,3
5,are unprofessional,ze onprofessioneel zijn,Queer,7,3,4,0,7,3.14,42.86,3
11,unprofessional,onprofessioneel,Queer,7,3,4,0,7,3.14,42.86,3
1,are generally undesirable,zijn over het algemeen ongewild,Queer,7,4,3,0,7,3.14,57.14,2
3,are generally undesirable,over het algemeen ongewild zijn,Queer,7,4,3,0,7,3.14,57.14,2
5,are generally undesirable,ze over het algemeen ongewild zijn,Queer,7,4,3,0,7,3.14,57.14,2
11,generally undesirable,over het algemeen ongewild,Queer,7,4,3,0,7,3.14,57.14,2
1,are inherently sexual,zijn van nature seksueel,Queer,7,3,4,0,7,1.43,42.86,3
3,are inherently sexual,van nature seksueel zijn,Queer,7,3,4,0,7,1.43,42.86,3
5,are inherently sexual,ze van nature seksueel zijn,Queer,7,3,4,0,7,1.43,42.86,3
11,inherently sexual,van nature seksueel,Queer,7,3,4,0,7,1.43,42.86,3
1,are lesser,zijn minderwaardig,"Queer, Biseksueel, Panseksueel, Homo",6,2,4,0,6,3.67,33.33,3
3,are lesser,minderwaardig zijn,"Queer, Biseksueel, Panseksueel, Homo",6,2,4,0,6,3.67,33.33,3
5,are lesser,ze minderwaardig zijn,"Queer, Biseksueel, Panseksueel, Homo",6,2,4,0,6,3.67,33.33,3
11,lesser,minderwaardig,"Queer, Biseksueel, Panseksueel, Homo",6,2,4,0,6,3.67,33.33,3
1,are post-sexual,zijn post-seksueel,"Queer, Homo, Non-binair",7,2,5,1,7,1,28.57,-1
3,are post-sexual,post-seksueel zijn,"Queer, Homo, Non-binair",7,2,5,1,7,1,28.57,-1
5,are post-sexual,ze post-seksueel zijn,"Queer, Homo, Non-binair",7,2,5,1,7,1,28.57,-1
11,post-sexual,post-seksueel,"Queer, Homo, Non-binair",7,2,5,1,7,1,28.57,-1
1,are creepy,zijn eng,"Queer, Homo, Non-binair",9,7,2,0,9,1.78,77.78,1
3,are creepy,eng zijn,"Queer, Homo, Non-binair",9,7,2,0,9,1.78,77.78,1
5,are creepy,ze eng zijn,"Queer, Homo, Non-binair",9,7,2,0,9,1.78,77.78,1
11,creepy,eng,"Queer, Homo, Non-binair",9,7,2,0,9,1.78,77.78,1
1,don't have real sex,hebben geen echte seks,"Queer, Lesbisch",6,6,0,0,6,3,100,1
3,don't have real sex,geen echte seks hebben,"Queer, Lesbisch",6,6,0,0,6,3,100,1
5,don't have real sex,ze geen echte seks hebben,"Queer, Lesbisch",6,6,0,0,6,3,100,1
11,doesn't have real sex,heeft geen echte seks,"Queer, Lesbisch",6,6,0,0,6,3,100,1
1,are sexually promiscuous,zijn seksueel promiscue,"Queer, Biseksueel, Non-binair",8,5,3,1,8,3.25,62.5,2
3,are sexually promiscuous,seksueel promiscue zijn,"Queer, Biseksueel, Non-binair",8,5,3,1,8,3.25,62.5,2
5,are sexually promiscuous,ze seksueel promiscue zijn,"Queer, Biseksueel, Non-binair",8,5,3,1,8,3.25,62.5,2
11,sexually promiscuous,seksueel promiscue,"Queer, Biseksueel, Non-binair",8,5,3,1,8,3.25,62.5,2
1,are out in all spaces,zijn openlijk uit de kast,Queer,6,3,3,0,6,0.67,50,2
3,are out in all spaces,openlijk uit de kast zijn,Queer,6,3,3,0,6,0.67,50,2
5,are out in all spaces,ze openlijk uit de kast zijn,Queer,6,3,3,0,6,0.67,50,2
11,out in all spaces,is openlijk uit de kast,Queer,6,3,3,0,6,0.67,50,2
1,are ugly,zijn lelijk,"Queer, Lesbisch",6,4,2,0,6,3.17,66.67,2
3,are ugly,lelijk zijn,"Queer, Lesbisch",6,4,2,0,6,3.17,66.67,2
5,are ugly,ze lelijk zijn,"Queer, Lesbisch",6,4,2,0,6,3.17,66.67,2
11,ugly,lelijk,"Queer, Lesbisch",6,4,2,0,6,3.17,66.67,2
1,are mean,zijn gemeen,"Queer, Lesbisch",7,3,4,0,7,2.29,42.86,3
3,are mean,gemeen zijn,"Queer, Lesbisch",7,3,4,0,7,2.29,42.86,3
5,are mean,ze gemeen zijn,"Queer, Lesbisch",7,3,4,0,7,2.29,42.86,3
11,mean,gemeen,"Queer, Lesbisch",7,3,4,0,7,2.29,42.86,3
1,are promiscuous,hebben veel verschillende sekspartners,"Queer, Homo, Biseksueel",7,7,0,0,7,2,100,1
3,are promiscuous,veel verschillende sekspartners hebben,"Queer, Homo, Biseksueel",7,7,0,0,7,2,100,1
5,are promiscuous,ze veel verschillende sekspartners hebben,"Queer, Homo, Biseksueel",7,7,0,0,7,2,100,1
11,promiscuous,heeft veel verschillende sekspartners,"Queer, Homo, Biseksueel",7,7,0,0,7,2,100,1
1,do not exist,bestaan niet,"Queer, Transgender, Aseksueel, Non-binair",9,6,3,1,9,2.89,66.67,2
1,do not exist,bestaan niet,"Queer, Transgender, Aseksueel, Non-binair",9,6,3,1,9,2.89,66.67,2
3,do not exist,niet bestaan,"Queer, Transgender, Aseksueel, Non-binair",9,6,3,1,9,2.89,66.67,2
5,do not exist,ze niet bestaan,"Queer, Transgender, Aseksueel, Non-binair",9,6,3,1,9,2.89,66.67,2
11,does not exist,bestaat niet,"Queer, Transgender, Aseksueel, Non-binair",9,6,3,1,9,2.89,66.67,2
1,are faking their identity,faken hun identiteit,Transgender,7,3,4,0,7,3.14,42.86,3
3,are faking their identity,hun identiteit faken,Transgender,7,3,4,0,7,3.14,42.86,3
5,are faking their identity,ze hun identiteit faken,Transgender,7,3,4,0,7,3.14,42.86,3
11,faking their identity,faket hun identiteit,Transgender,7,3,4,0,7,3.14,42.86,3
1,are stereotypical lesbians,zijn stereotype lesbiennes,Transgender,7,3,4,0,7,1.57,42.86,3
3,are stereotypical lesbians,stereotype lesbiennes zijn,Transgender,7,3,4,0,7,1.57,42.86,3
5,are stereotypical lesbians,ze stereotype lesbiennes zijn,Transgender,7,3,4,0,7,1.57,42.86,3
11,a stereotypical lesbian,een stereotype lesbienne,Transgender,7,3,4,0,7,1.57,42.86,3
1,can't be happy,kunnen niet gelukkig zijn,Transgender,7,0,7,0,7,2.86,0,-1
3,can't be happy,niet gelukkig kunnen zijn,Transgender,7,0,7,0,7,2.86,0,-1
5,can't be happy,ze niet gelukkig kunnen zijn,Transgender,7,0,7,0,7,2.86,0,-1
11,can't be happy,kan niet gelukkig zijn,Transgender,7,0,7,0,7,2.86,0,-1
1,are unable to resist looking at people's breasts,kunnen het niet laten om naar de borsten van anderen te kijken,Transgender,9,2,7,0,9,2.44,22.22,-1
3,are unable to resist looking at people's breasts,het niet kunnen laten om naar de borsten van anderen te kijken,Transgender,9,2,7,0,9,2.44,22.22,-1
5,are unable to resist looking at people's breasts,ze het niet kunnen laten om naar de borsten van anderen te kijken,Transgender,9,2,7,0,9,2.44,22.22,-1
11,unable to resist looking at people's breasts,kan het niet laten om naar de borsten van anderen te kijken,Transgender,9,2,7,0,9,2.44,22.22,-1
1,are effeminate,zijn verwijfd,"Transgender, Homo, Biseksueel",7,6,1,0,7,2.86,85.71,1
3,are effeminate,verwijfd zijn,"Transgender, Homo, Biseksueel",7,6,1,0,7,2.86,85.71,1
5,are effeminate,ze verwijfd zijn,"Transgender, Homo, Biseksueel",7,6,1,0,7,2.86,85.71,1
11,effeminate,verwijfd,"Transgender, Homo, Biseksueel",7,6,1,0,7,2.86,85.71,1
1,are associated with mental illness,worden geassocieerd met een psychische aandoening,Transgender,9,6,3,0,9,3.33,66.67,2
3,are associated with mental illness,geassocieerd worden met een psychische aandoening,Transgender,9,6,3,0,9,3.33,66.67,2
5,are associated with mental illness,ze geassocieerd worden met een psychische aandoening,Transgender,9,6,3,0,9,3.33,66.67,2
11,associated with mental illness,geassocieerd met een psychische aandoening,Transgender,9,6,3,0,9,3.33,66.67,2
1,are sex craved,verlangen naar seks,Transgender,8,3,5,1,9,2.89,37.5,3
3,are sex craved,verlangen naar seks,Transgender,8,3,5,1,9,2.89,37.5,3
5,are sex craved,ze verlangen naar seks,Transgender,8,3,5,1,9,2.89,37.5,3
11,sex craved,verlangt naar seks,Transgender,8,3,5,1,9,2.89,37.5,3
1,are predatory men,zijn roofzuchtige mannen,Transgender,6,3,3,0,6,3.33,50,2
3,are predatory men,roofzuchtige mannen zijn,Transgender,6,3,3,0,6,3.33,50,2
5,are predatory men,ze roofzuchtige mannen zijn,Transgender,6,3,3,0,6,3.33,50,2
11,a predatory man,een roofzuchtige man,Transgender,6,3,3,0,6,3.33,50,2
1,are faking being trans to be with women,doen alsof ze transgender zijn om bij vrouwen te kunnen zijn,Transgender,7,4,3,0,7,3,57.14,2
3,are faking being trans to be with women,doen alsof ze transgender zijn om bij vrouwen te kunnen zijn,Transgender,7,4,3,0,7,3,57.14,2
5,are faking being trans to be with women,ze doen alsof ze transgender zijn om bij vrouwen te kunnen zijn,Transgender,7,4,3,0,7,3,57.14,2
11,faking being trans to be with women,doet alsof die trans is om bij vrouwen te zijn,Transgender,7,4,3,0,7,3,57.14,2
1,are biologically and mentally male,zijn biologisch en mentaal mannelijk,Transgender,7,6,1,0,7,3.57,85.71,1
3,are biologically and mentally male,biologisch en mentaal mannelijk zijn,Transgender,7,6,1,0,7,3.57,85.71,1
5,are biologically and mentally male,ze biologisch en mentaal mannelijk zijn,Transgender,7,6,1,0,7,3.57,85.71,1
